Number One,Number Two,Their GCD,Time Spent (Nanoseconds)
531,770,1,1630
478,813,1,1438
778,920,2,2346
879,339,3,1041
935,324,1,1235
343,866,1,1065
131,828,1,442
55,721,1,277
898,438,2,1355
107,162,1,388
892,668,4,1999
777,690,3,2259
198,410,2,750
945,782,1,2413
703,468,1,1684
627,585,3,1865
237,105,3,497
398,14,2,148
24,628,4,202
705,310,5,1016
951,47,1,240
175,434,7,650
226,581,1,727
506,124,2,501
18,612,18,89
637,909,1,1882
632,413,1,1242
951,829,1,2287
174,247,1,703
962,876,2,2621
715,588,1,2026
460,951,1,1565
44,209,11,205
317,67,1,283
189,21,21,91
728,491,1,1410
419,254,1,833
924,645,3,1949
835,782,1,2362
120,852,12,504
745,756,1,2144
113,376,1,409
520,415,5,1193
556,693,1,1671
661,517,1,1535
920,727,1,2076
105,731,1,440
