Number One,Number Two,Their GCD,Time Spent (Nanoseconds)
438,592,2,130
404,886,2,117
582,567,3,106
129,623,1,110
787,113,1,107
959,939,1,105
339,805,1,117
421,853,1,105
124,356,4,103
157,883,1,106
17,820,1,88
340,124,4,105
210,572,2,139
977,712,1,119
382,152,2,113
394,819,1,107
95,150,5,113
57,28,1,89
716,537,179,79
650,854,2,127
649,960,1,110
144,339,3,112
116,565,1,127
192,239,1,107
920,348,4,131
473,288,1,139
519,164,1,108
764,81,1,103
736,740,4,81
792,469,1,125
243,538,1,112
287,337,1,114
39,695,1,111
364,754,26,82
231,366,3,111
960,231,3,117
677,103,1,131
570,145,5,108
19,113,1,97
383,291,1,102
460,208,4,109
930,331,1,96
371,693,7,123
411,106,1,103
433,554,1,139
574,27,1,94
91,213,1,113
716,129,1,107
259,79,1,101
235,842,1,121
796,546,2,101
424,825,1,121
1000,993,1,92
969,19,19,71
105,703,1,120
309,917,1,114
262,238,2,100
247,633,1,123
283,9,1,114
90,67,1,104
562,16,2,92
93,5,1,98
580,808,4,111
133,190,19,97
239,719,1,88
31,386,1,115
264,455,1,175
210,264,6,105
799,530,1,133
634,904,2,132
233,942,1,106
172,494,2,123
531,770,1,114
478,813,1,112
778,920,2,106
879,339,3,109
935,324,1,110
343,866,1,121
131,828,1,102
55,721,1,85
898,438,2,94
107,162,1,113
892,668,4,107
777,690,3,115
198,410,2,87
945,782,1,128
703,468,1,153
627,585,3,107
237,105,3,95
398,14,2,86
24,628,4,93
705,310,5,112
951,47,1,92
175,434,7,99
226,581,1,112
506,124,2,96
18,612,18,80
637,909,1,106
632,413,1,134
951,829,1,136
174,247,1,132
962,876,2,109
715,588,1,159
460,951,1,115
44,209,11,97
317,67,1,124
189,21,21,81
728,491,1,113
419,254,1,116
924,645,3,113
835,782,1,103
120,852,12,118
745,756,1,110
113,376,1,105
520,415,5,95
556,693,1,107
661,517,1,139
920,727,1,116
105,731,1,104
