Number One,Number Two,Their GCD,Time Spent (Nanoseconds)
999,461,1,2000
916,421,1,1900
23,44,1,400
799,667,1,2800
454,558,2,2100
337,396,1,1600
633,815,1,2700
32,65,1,500
763,743,1,3000
875,64,1,600
742,977,1,3200
752,814,2,3300
903,879,3,3600
867,150,3,1100
114,884,2,800
641,849,1,2900
599,674,1,2600
606,686,2,2700
3,141,3,300
972,196,4,1300
233,816,1,1100
310,342,2,1600
674,550,2,2700
812,366,2,1900
67,364,1,600
479,21,1,400
190,21,1,400
783,217,1,1200
804,238,2,1500
986,688,2,3100
586,867,1,2500
232,917,1,1300
465,409,1,1900
557,393,1,1800
914,821,1,3300
879,923,1,3800
681,277,1,1300
425,51,17,600
313,846,1,1500
712,139,1,800
689,214,1,1200
627,431,1,1900
478,179,1,1000
360,319,1,1500
657,43,1,500
924,754,2,3300
378,637,7,2000
579,413,1,1900
29,632,1,400
290,13,1,400
532,179,1,1000
888,241,1,1200
117,869,1,800
180,692,4,1300
614,774,2,2700
475,881,1,2200
334,981,1,1600
825,511,1,2300
613,459,1,2200
490,911,1,2400
670,791,1,3000
849,876,3,3600
636,188,4,1100
217,155,31,1000
500,449,1,2000
522,507,3,2600
562,527,1,2300
951,878,1,3700
174,960,6,1100
109,384,1,700
799,621,1,2800
662,264,2,1700
712,113,1,700
775,268,1,1400
763,245,7,1300
839,730,1,3200
132,115,1,700
361,837,1,1800
895,335,5,1600
35,901,1,500
629,722,1,2700
712,930,2,3200
634,929,1,2800
907,41,1,500
26,142,2,500
950,576,2,2900
486,125,1,800
257,831,1,1300
617,730,1,2600
222,735,3,1200
25,441,1,400
421,384,1,2000
